clients,dataset,exact_shapley_fully_covered,feasible,game_id,grand_worth,interaction_surplus,max_player_width,mean_player_width,nonempty_coordinate_intervals,nonnegative_pair_mass,nonnegative_singletons,nonnegative_triple_mass,normalized_sum_width,pair_mass,phase,slice_lower_bound,slice_upper_bound,source,sum_player_width,tolerance,triple_mass
8,fashion_mnist,,False,72,0.1704021548964576,-0.0038532023072233024,,,False,True,True,False,,0.0037018243199410383,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.007555026627164341
8,fashion_mnist,,False,75,0.24525407056487564,-0.006063488129392114,,,False,True,True,False,,0.015886913819506188,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0219504019488983
8,fashion_mnist,,False,78,0.04381200031129139,0.0028032366188235278,,,False,True,True,True,,0.002325862315733708,development,True,True,confirmatory-large-update-20260903,,1e-09,0.00047737430308981976
8,fashion_mnist,,False,81,0.07079579425021035,0.0012051390908580928,,,False,False,True,True,,-0.00030589920802795434,development,False,False,confirmatory-large-update-20260903,,1e-09,0.0015110382988860471
8,fashion_mnist,,False,84,0.1510517359916112,-0.00851699462699057,,,False,False,True,False,,-0.005940116741943557,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.002576877885047013
8,fashion_mnist,,False,87,0.2066323501552707,-0.015539792442123335,,,False,False,True,False,,-0.008689698132880452,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.006850094309242882
8,fashion_mnist,,False,90,0.03872178192215725,0.008794039235749285,,,False,True,False,False,,0.009233939233971977,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.00043989999822269255
8,fashion_mnist,,False,93,0.05959094021802279,0.012018040796567084,,,False,True,False,False,,0.01294455076461383,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0009265099680467459
8,fashion_mnist,,False,96,0.16572711580407326,-0.009818902766604048,,,False,False,True,False,,-0.0028351124719871723,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.006983790294616876
8,fashion_mnist,,False,99,0.22945846611537957,-0.021172247826320545,,,False,False,True,False,,-0.0015684376162367064,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.01960381021008384
8,fashion_mnist,,False,102,0.03989489362497545,0.0036273518483886935,,,False,True,True,True,,0.00345727986459754,development,True,False,confirmatory-large-update-20260903,,1e-09,0.00017007198379115351
8,fashion_mnist,,False,105,0.06099923470078693,0.0016649636229851689,,,False,True,True,True,,0.0007961146799794899,development,False,False,confirmatory-large-update-20260903,,1e-09,0.0008688489430056789
